team,score,date
faranbutt,0.5651767356010962,2026-04-15 13:05
Bijay,0.5582487835408811,2026-04-03 19:20
gururgg,0.555962873604691,2026-04-03 13:14
predictionns,0.5355271210997747,2026-03-19 15:56
Mubaraq,0.5161036642293718,2026-04-01 19:27
murad,0.5025837070150506,2026-03-21 13:29
Ignatius,0.4985244070276047,2026-03-28 17:38
el_Ikram,0.49762234602079836,2026-04-06 22:51
Peguy_v2,0.47994555871952493,2026-04-05 04:12
MahaTeam,0.4686742086213822,2026-04-16 11:19
submissions,0.44562457144668655,2026-04-04 23:30
RPYpredictions,0.4392028482665921,2026-04-15 02:45
hadil,0.43566741870573455,2026-03-24 22:11
Tasneem,0.3543349369295517,2026-04-01 00:24
Llm_Codex,0.14292047469649433,2026-05-08 23:50
